Tüketici fiyat endeksi (2003=100) madde sepeti ve ortalama fiyatlar (Türkiye);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Consumer price index (2003=100) item basket and average prices (Turkey);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;TL.;TL.;TL.;TL.;TL.;TL.;TL.;TL.;TL.;TL.;TL.;TL.;TL.;TL.;TL.;TL.;TL.;TL.;TL.;TL.;TL.;TL.;TL.;TL.;YTL;YTL;YTL;YTL;YTL;YTL;YTL;YTL;YTL;YTL;YTL;YTL;YTL;YTL;YTL;YTL;YTL;YTL;YTL;YTL;YTL;YTL;YTL;YTL;YTL;YTL;YTL;YTL;YTL;YTL;YTL;YTL;YTL;YTL;YTL;YTL;YTL;YTL;YTL;YTL;YTL;YTL;YTL;YTL;YTL;YTL;YTL;YTL;TL;TL;TL;TL;TL;TL;TL;TL;TL;TL;TL;TL;TL;TL;TL;TL;TL;TL;TL;TL;TL;TL;TL;TL;TL;TL;TL;TL;TL;TL;TL;TL;TL;TL;TL;TL;TL;TL;TL;TL;TL;TL;TL;TL;TL;TL;TL;TL;TL;TL;TL;TL;TL;TL;TL;TL;TL;TL;TL;TL;TL;TL;TL;TL;TL;TL;TL;TL;TL;TL;TL;TL;TL;TL;TL;TL;TL;TL;TL;TL;TL;TL;TL;TL;TL;TL;TL;TL;TL;TL;TL;TL;TL;TL;TL;TL;TL;TL;TL;TL;TL;TL;TL;TL;TL;TL;TL;TL;TL;TL;TL;TL;TL;TL;TL;TL;TL;TL;TL;TL;TL;TL
;;;2003;2003;2003;2003;2003;2003;2003;2003;2003;2003;2003;2003;2004;2004;2004;2004;2004;2004;2004;2004;2004;2004;2004;2004;2005;2005;2005;2005;2005;2005;2005;2005;2005;2005;2005;2005;2006;2006;2006;2006;2006;2006;2006;2006;2006;2006;2006;2006;2007;2007;2007;2007;2007;2007;2007;2007;2007;2007;2007;2007;2008;2008;2008;2008;2008;2008;2008;2008;2008;2008;2008;2008;2009;2009;2009;2009;2009;2009;2009;2009;2009;2009;2009;2009;2010;2010;2010;2010;2010;2010;2010;2010;2010;2010;2010;2010;2011;2011;2011;2011;2011;2011;2011;2011;2011;2011;2011;2011;2012;2012;2012;2012;2012;2012;2012;2012;2012;2012;2012;2012;2013;2013;2013;2013;2013;2013;2013;2013;2013;2013;2013;2013;2014;2014;2014;2014;2014;2014;2014;2014;2014;2014;2014;2014;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2016;2016;2016;2016;2016;2016;2016;2016;2016;2016;2016;2016;2017;2017;2017;2017;2017;2017;2017;2017;2017;2017;2017;2017;2018;2018;2018;2018;2018;2018;2018;2018;2018;2018;2018;2018;2019;2019
Kod;Madde adları;;Ocak;Şubat;Mart;Nisan;Mayıs;Haziran;Temmuz;Ağustos;Eylül;Ekim;Kasım;Aralık;Ocak;Şubat;Mart;Nisan;Mayıs;Haziran;Temmuz;Ağustos;Eylül;Ekim;Kasım;Aralık;Ocak;Şubat;Mart;Nisan;Mayıs;Haziran;Temmuz;Ağustos;Eylül;Ekim;Kasım;Aralık;Ocak;Şubat;Mart;Nisan;Mayıs;Haziran;Temmuz;Ağustos;Eylül;Ekim;Kasım;Aralık;Ocak;Şubat;Mart;Nisan;Mayıs;Haziran;Temmuz;Ağustos;Eylül;Ekim;Kasım;Aralık;Ocak;Şubat;Mart;Nisan;Mayıs;Haziran;Temmuz;Ağustos;Eylül;Ekim;Kasım;Aralık;Ocak;Şubat;Mart;Nisan;Mayıs;Haziran;Temmuz;Ağustos;Eylül;Ekim;Kasım;Aralık;Ocak;Şubat;Mart;Nisan;Mayıs;Haziran;Temmuz;Ağustos;Eylül;Ekim;Kasım;Aralık;Ocak;Şubat;Mart;Nisan;Mayıs;Haziran;Temmuz;Ağustos;Eylül;Ekim;Kasım;Aralık;Ocak;Şubat;Mart;Nisan;Mayıs;Haziran;Temmuz;Ağustos;Eylül;Ekim;Kasım;Aralık;Ocak;Şubat;Mart;Nisan;Mayıs;Haziran;Temmuz;Ağustos;Eylül;Ekim;Kasım;Aralık;Ocak;Şubat;Mart;Nisan;Mayıs;Haziran;Temmuz;Ağustos;Eylül;Ekim;Kasım;Aralık;Ocak;Şubat;Mart;Nisan;Mayıs;Haziran;Temmuz;Ağustos;Eylül;Ekim;Kasım;Aralık;Ocak;Şubat;Mart;Nisan;Mayıs;Haziran;Temmuz;Ağustos;Eylül;Ekim;Kasım;Aralık;Ocak;Şubat;Mart;Nisan;Mayıs;Haziran;Temmuz;Ağustos;Eylül;Ekim;Kasım;Aralık;Ocak;Şubat;Mart;Nisan;Mayıs;Haziran;Temmuz;Ağustos;Eylül;Ekim;Kasım;Aralık;Ocak;Şubat
Code;Item name;;January;February;March;April;May;June;July;August;September;October;November;December;January;February;March;April;May;June;July;August;September;October;November;December;January;February;March;April;May;June;July;August;September;October;November;December;January;February;March;April;May;June;July;August;September;October;November;December;January;February;March;April;May;June;July;August;September;October;November;December;January;February;March;April;May;June;July;August;September;October;November;December;January;February;March;April;May;June;July;August;September;October;November;December;January;February;March;April;May;June;July;August;September;October;November;December;January;February;March;April;May;June;July;August;September;October;November;December;January;February;March;April;May;June;July;August;September;October;November;December;January;February;March;April;May;June;July;August;September;October;November;December;January;February;March;April;May;June;July;August;September;October;November;December;January;February;March;April;May;June;July;August;September;October;November;December;January;February;March;April;May;June;July;August;September;October;November;December;January;February;March;April;May;June;July;August;September;October;November;December;January;February;March;April;May;June;July;August;September;October;November;December;January;February
0111101;Pirinç;Rice;2016210;2035962;2065616;2097533;2117020;2125184;2135285;2160077;2175361;2176601;2193415;2215852;2230060;2247909;2314843;2350103;2352129;2360099;2400507;2424409;2468231;2505891;2534463;2545872;2,5500;2,5700;2,5800;2,6100;2,6400;2,6500;2,6500;2,6600;2,6800;2,6700;2,7000;2,7000;2,7900;2,8100;2,8200;2,8200;2,7900;2,8200;2,9200;2,9800;2,9800;3,0000;2,9600;2,9500;3,0000;3,0300;3,0900;3,1100;3,1100;3,1153;3,1393;3,1762;3,1805;3,1780;3,1803;3,2438;3,3146;3,3868;3,5530;4,6532;5,0508;5,1460;5,2003;5,1571;4,9374;4,6176;4,7222;4,7037;4,5054;4,4911;4,5989;4,6795;4,7385;4,7974;4,8481;4,8945;4,8953;4,8358;4,8127;4,7974;4,8458;4,8683;4,8826;4,8838;4,8491;4,6628;4,6272;4,5416;4,5246;4,5558;4,6132;4,6239;4,6093;4,6375;4,6455;4,6479;4,6297;4,6132;4,5999;4,5893;4,5381;4,5086;4,4415;4,3950;4,3293;4,2976;4,2846;4,2538;4,2360;4,2490;4,2521;4,2443;4,2450;4,2566;4,2786;4,3269;4,2847;4,3382;4,3830;4,4232;4,4920;4,5786;4,6005;4,6130;4,6386;4,6550;4,7865;5,1337;5,5099;5,8146;6,0014;6,3202;6,5173;6,6019;6,6503;6,6866;6,6035;6,5502;6,6839;6,7458;6,7536;6,7628;6,7656;6,7203;6,7005;6,6268;6,5549;6,5381;6,5062;6,4513;6,4500;6,4682;6,4761;6,4067;6,3285;6,2738;6,2113;6,1359;6,1108;6,0983;6,0712;6,0864;6,1383;6,2266;6,2986;6,5794;6,8427;6,9160;6,9455;7,0126;7,0734;7,1118;7,1388;7,1981;7,5716;7,8575;7,7321;7,7563;7,7952;7,8248;7,8543;8,0722;8,3216;8,4695;8,8124;9,1428;9,2960;9,3896;8,4275;8,7656
0111201;Buğday Unu;Wheat flour;952642;962023;981226;1001251;1010282;1012034;1017230;1026227;1034873;1038247;1035017;1043199;1050722;1058230;1066719;1064914;1067668;1069449;1083233;1079931;1085929;1084509;1076238;1080424;1,0900;1,0900;1,1000;1,0900;1,0900;1,0900;1,0900;1,0900;1,0900;1,1000;1,1000;1,1000;1,1100;1,1100;1,1100;1,1200;1,1100;1,1100;1,1200;1,1400;1,1700;1,1700;1,1700;1,1700;1,1800;1,1800;1,2100;1,2100;1,2100;1,2167;1,2316;1,2662;1,3118;1,3561;1,3934;1,4102;1,4213;1,4377;1,4933;1,5642;1,5890;1,6072;1,6168;1,6295;1,6200;1,6041;1,5880;1,5848;1,5919;1,5914;1,6084;1,6162;1,6196;1,6160;1,6112;1,5971;1,5823;1,5893;1,5893;1,5860;1,5916;1,6020;1,6074;1,6062;1,6019;1,6047;1,6098;1,6020;1,6335;1,6910;1,7255;1,6870;1,7621;1,8354;1,8678;1,8766;1,8794;1,8887;1,8808;1,8708;1,8845;1,8968;1,8970;1,8792;1,9087;1,9120;1,8974;1,9122;1,9051;1,9185;1,9215;1,9307;1,9864;2,0263;2,0357;2,0750;2,0838;2,1008;2,1279;2,1616;2,1988;2,2139;2,2087;2,2087;2,2166;2,2385;2,2671;2,3416;2,3921;2,4358;2,4724;2,5430;2,5845;2,6028;2,5997;2,6186;2,6225;2,6434;2,6671;2,6824;2,6919;2,7122;2,6934;2,7018;2,7192;2,7341;2,7335;2,7388;2,7396;2,7503;2,8073;2,8404;2,8657;2,8958;2,9318;2,9622;2,9531;2,9508;2,9561;2,9433;2,9512;2,9216;2,9313;2,9609;3,0120;2,9903;2,9860;3,0794;3,1033;3,0826;3,1173;3,1296;3,1403;3,1360;3,1483;3,1280;3,0404;3,1196;3,1208;3,1630;3,0999;3,1645;3,1661;3,2236;3,4645;3,7268;4,0320;4,0832;3,5069;3,4963
0111208;Bebek Maması (Toz Karışım);Baby food;35681369;35706034;35752192;36034235;36137923;36220300;36416760;36510782;36361407;36403914;36430908;36399117;36726039;37080939;37550088;37852941;38165494;38280115;38503499;38662501;38947445;39120125;39206976;39251667;39,0800;39,0800;39,3000;39,5500;39,6500;39,7700;39,8500;39,9500;40,0700;40,0500;40,0900;40,1200;40,4900;40,4900;40,5100;40,6900;41,0200;41,4200;42,0100;42,4200;43,2900;44,3000;45,1200;45,6100;45,8500;45,9400;46,1200;46,2100;46,1800;46,3245;46,5644;46,9730;47,1784;47,4399;47,7137;47,8378;47,8711;48,4371;48,8505;49,3018;49,4275;49,5660;49,8027;50,0820;50,2813;50,3637;50,4428;50,5384;50,7216;50,8062;50,8398;51,1635;51,2558;51,2435;51,1793;51,1268;51,1527;51,2348;51,2969;51,4001;51,6739;51,7503;51,9128;52,0574;52,2064;52,3203;52,7865;52,7020;52,8425;52,9859;53,1690;53,0279;52,8088;52,9408;53,2264;53,4115;53,6267;53,5206;53,6895;53,5053;53,4998;53,5728;53,3615;53,7002;53,5179;53,6238;53,8568;53,9783;53,9857;54,2668;54,4074;54,3558;54,2596;54,4586;54,4307;54,4057;54,3630;54,3401;54,4482;54,6340;54,7009;54,7345;55,0365;55,1960;55,2422;55,1904;55,1045;55,1446;54,9710;55,1760;57,4444;60,2107;61,1427;61,4769;61,4459;61,8533;61,9260;61,9217;62,1709;62,3705;62,3429;62,2870;62,5114;62,6094;62,5762;62,4875;62,3474;62,1223;62,7517;63,4165;63,8168;64,0833;64,2538;65,8452;69,1545;70,0090;70,5086;70,8407;71,1519;71,1307;71,0422;71,0337;72,2398;75,8416;76,6129;77,5024;83,0939;85,4474;86,1864;86,4566;88,0215;89,0206;89,3829;90,7822;91,8897;91,9681;92,2890;99,2035;110,4484;112,3698;113,3193;113,9226;118,2576;121,6513;143,7910;154,9253;155,2338;154,8652;120,3109;118,3407
0111209;Bulgur;Boiled and pounded wheat;985961;996150;1015331;1041581;1052962;1060421;1064402;1072314;1080182;1079749;1078563;1083117;1089258;1103116;1109364;1111818;1119024;1119498;1118897;1121427;1137091;1141065;1156169;1160146;1,1700;1,1700;1,1700;1,1800;1,1900;1,1800;1,1800;1,1800;1,1800;1,1900;1,1900;1,2000;1,2100;1,2200;1,2400;1,2600;1,2600;1,2700;1,2800;1,2900;1,3000;1,3100;1,3300;1,3400;1,3700;1,4100;1,4400;1,4700;1,4500;1,4471;1,4832;1,5173;1,5347;1,5599;1,6184;1,6882;1,8570;2,0130;2,1457;2,4086;2,5051;2,5027;2,5388;2,5600;2,4473;2,4518;2,4791;2,4620;2,4746;2,4593;2,4536;2,4690;2,4390;2,3862;2,2953;2,2190;2,1172;2,1505;2,1275;2,0984;2,1126;2,0926;2,1021;2,0705;2,0540;1,9759;1,9819;1,9516;1,9785;2,0195;2,0426;2,0502;2,0569;2,1038;2,1087;2,1032;2,0934;2,1023;2,1100;2,1069;2,1024;2,1024;2,0797;2,0447;2,0563;2,0351;2,0314;2,0426;2,0243;2,0240;2,0319;2,0473;2,0891;2,1361;2,1671;2,2283;2,2862;2,3603;2,3764;2,3848;2,3898;2,3920;2,3657;2,3717;2,3765;2,3806;2,4014;2,4369;2,4838;2,5684;2,5899;2,6117;2,6271;2,6312;2,6080;2,6413;2,6614;2,6930;2,7520;2,7891;2,8034;2,8548;2,8753;2,9171;2,9293;2,8768;2,8766;2,8706;2,8881;2,8932;2,8845;2,9107;2,9507;2,9689;2,9643;2,9702;2,9897;2,9524;2,9818;2,9673;2,9437;2,9756;2,9837;2,9856;3,0439;3,0879;3,1200;3,1278;3,1212;3,1138;3,1353;3,1337;3,1705;3,2292;3,2643;3,2894;3,1957;3,2064;3,2121;3,2002;3,2017;3,2132;3,2811;3,3359;3,4683;3,6509;3,9187;3,9390;3,7030;3,8757
0111301;Ekmek;Bread;1033435;1045493;1068880;1095853;1107608;1119798;1128075;1130531;1144934;1153891;1156657;1150844;1164976;1165164;1155641;1157166;1158228;1164451;1173628;1178992;1186498;1188267;1186941;1183251;1,1900;1,1900;1,1900;1,1900;1,1900;1,1900;1,1900;1,1900;1,2000;1,2000;1,2000;1,2200;1,2100;1,2400;1,2700;1,2700;1,2800;1,2800;1,3000;1,3300;1,3500;1,3700;1,4000;1,4200;1,4400;1,4700;1,4900;1,5000;1,5000;1,5281;1,5379;1,5614;1,5923;1,6067;1,6390;1,6885;1,7209;1,7446;1,8265;1,9413;2,0052;2,1307;2,1352;2,1343;2,1545;2,1442;2,1384;2,1364;2,1271;2,0955;2,0812;2,0807;2,0845;2,0792;2,0727;2,0729;2,0676;2,0469;2,0351;2,0311;2,0328;2,0560;2,0637;2,0546;2,0234;2,0397;2,0436;2,0578;2,0676;2,0880;2,1022;2,1207;2,1384;2,1599;2,1618;2,1711;2,1752;2,1768;2,1912;2,2129;2,2289;2,2351;2,2538;2,2751;2,3123;2,3673;2,3773;2,3902;2,4142;2,4394;2,4742;2,5004;2,5219;2,5379;2,5619;2,6101;2,6568;2,6891;2,7250;2,7522;2,7824;2,8121;2,8407;2,8490;2,8589;2,8929;2,9026;2,9149;2,9964;3,0584;3,1041;3,1202;3,1605;3,2055;3,2420;3,2462;3,2623;3,3096;3,3584;3,3687;3,4268;3,4319;3,4199;3,4296;3,4311;3,4625;3,4761;3,4846;3,4967;3,5216;3,5389;3,5927;3,6649;3,7644;3,7838;3,8024;3,8160;3,8411;3,8535;3,8632;3,8771;3,8881;3,8930;3,8930;3,9348;3,9655;3,9953;4,0073;4,0736;4,1086;4,1136;4,1196;4,1205;4,1439;4,1903;4,1998;4,3398;4,4238;4,4389;4,4507;4,4990;4,5210;4,5518;4,6594;4,8715;4,9282;4,9588;4,9687;5,0001;5,0568
0111401;Bisküvi;Biscuit;3540838;3571776;3620380;3697929;3751525;3785742;3810051;3825684;3840200;3842949;3843146;3842168;3866265;3876540;3888136;3910092;3919142;4117782;4247222;4286343;4314987;4343056;4354106;4378542;4,3600;4,3800;4,3700;4,3500;4,3800;4,3700;4,3400;4,3700;4,3600;4,3100;4,3400;4,4700;4,6000;4,6400;4,6700;4,6300;4,6700;4,6700;4,6700;4,9000;4,9900;4,9700;4,9800;4,9500;4,9000;4,9500;4,9900;4,9800;4,9900;4,7179;4,6682;4,6937;4,8890;4,9629;4,9720;4,9842;5,0041;4,9888;5,0041;5,1490;5,1685;5,2166;5,2498;5,4552;5,5760;5,6233;5,6501;5,7041;5,7326;5,7369;5,7201;5,7386;5,7489;5,7830;5,8442;5,8769;5,8681;5,8577;5,8042;5,8548;5,9131;5,9325;5,9328;5,9824;5,9884;5,9417;5,9480;5,9334;5,9530;5,9842;5,9860;6,0166;6,0549;6,0612;6,0652;6,0272;5,9828;5,9671;5,9915;5,9921;5,9703;5,9112;5,9490;5,9520;5,9827;5,9969;6,0743;6,1347;6,1520;6,1590;6,1522;6,1411;6,1285;6,1489;6,1483;6,1669;6,1621;6,1652;6,1554;6,1288;6,1450;6,1301;6,1550;6,1706;6,1595;6,1767;6,1697;6,1964;6,2541;6,3255;6,3939;6,4288;6,4498;6,5196;6,5459;6,5911;6,6110;6,6291;6,6100;6,6233;6,7041;6,7170;6,7535;6,7764;6,7957;6,8047;6,8251;6,8491;6,8631;6,8883;6,9662;7,0301;7,0846;7,1892;7,2356;7,2699;7,2903;7,2921;7,3231;7,3280;7,3340;7,2932;7,3010;7,3858;7,5057;7,5446;7,6447;7,7450;7,7675;7,8155;8,0708;8,2660;8,3515;8,4204;8,4055;8,5001;8,4253;8,5173;8,5251;8,5620;8,5685;8,6502;8,8455;8,9357;9,6581;10,0652;10,1171;10,2471;9,9600;10,3095
0111402;Kraker;Cracker;4431499;4435800;4434387;4461331;4510444;4541978;4575407;4609555;4627956;4679484;4714203;4717066;4775602;4796328;4820462;4825559;4826199;4836753;4824861;4837136;4860376;4901920;4912215;4887446;4,8700;4,8600;4,9400;4,9900;4,9500;4,9100;4,9500;4,9400;4,9300;4,9500;4,9800;4,9700;4,9400;4,9400;4,9300;4,9600;4,9600;4,9500;4,9300;5,4800;5,7300;5,7700;5,8200;5,8500;5,8800;5,9000;5,9300;5,9400;5,9300;5,6973;5,6662;5,6454;5,8870;5,9541;5,9804;5,9980;6,1182;6,0418;6,0762;6,0834;6,1195;6,1412;6,1994;6,2496;6,2821;6,2910;6,1939;6,3107;6,3268;6,3830;6,4408;6,4573;6,4829;6,5176;6,5713;6,5828;6,6290;6,6470;6,6415;6,6482;6,6619;6,6390;6,6445;6,6566;6,6429;6,6650;6,6696;6,6687;6,6636;6,7638;6,9429;6,9861;7,0048;6,9686;6,9060;6,9239;6,8772;6,8659;6,9315;7,1130;7,1536;7,1471;7,2614;7,2939;7,4163;7,4941;7,5921;7,6482;7,6714;7,6248;7,4229;7,3473;7,2922;7,2588;7,2318;7,1726;7,1683;7,1727;7,1447;7,1132;7,1177;7,0980;7,1130;7,1086;7,0828;7,0882;7,0872;7,0946;7,0778;7,0735;7,0756;7,0828;7,1006;7,1300;7,1180;7,1255;7,1560;7,1638;7,1478;7,1523;7,1751;7,1758;7,2154;7,1944;7,1859;7,1904;7,2014;7,1970;7,1928;7,2231;7,4209;7,5213;7,5668;7,5720;7,6007;7,6253;7,6182;7,7735;7,9511;7,9907;8,0115;8,0282;8,0422;8,0638;8,0409;8,0690;8,0695;8,0860;8,1939;8,4231;8,6376;8,7475;8,7484;8,7827;8,7756;8,7894;8,4363;8,7022;8,9111;8,9668;9,0201;9,1242;9,1944;9,2050;9,3769;9,7613;10,2238;10,8954;10,1594;10,2279
